                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.0845,                0.80791,                 0.9152,                  1.278,                 1.3822,                0.90757,                0.59649,                0.29006,                0.50537,                 0.2207,                 1.9085,                 1.7746,                 1.3739,                 1.7801,                 2.9237,                 1.2705,             0.00015873,             0.00015873,             0.00015873
                     49,                  1.085,                0.78181,                0.93081,                 1.2769,                 1.3815,                0.91294,                0.59649,                0.29006,                0.50537,                 0.2207,                 1.9085,                 1.7746,                 1.3739,                 1.7801,                 2.9237,                 1.2705,             0.00015338,             0.00015338,             0.00015338
                     50,                 1.0306,                0.71458,                0.88561,                 1.3136,                 1.2462,                0.88635,                0.81689,                0.25505,                0.50372,                0.22822,                 1.8851,                  1.834,                 1.3614,                 1.7389,                 2.9876,                 1.2245,             0.00014768,             0.00014768,             0.00014768
                     51,                 1.0292,                0.75241,                0.92214,                 1.2475,                 1.3477,                0.92084,                0.81689,                0.25505,                0.50372,                0.22822,                 1.8851,                  1.834,                 1.3614,                 1.7389,                 2.9876,                 1.2245,             0.00014022,             0.00014022,             0.00014022
                     52,                  1.015,                0.71541,                 0.9035,                 1.2813,                 1.2754,                0.89687,                0.80649,                0.24773,                0.49745,                 0.2368,                 1.8798,                 1.8678,                 1.3596,                 1.7575,                 2.9716,                 1.2221,             0.00014022,             0.00014022,             0.00014022
                     53,                0.95446,                0.69926,                0.90149,                 1.1708,                 1.3198,                0.88946,                0.80649,                0.24773,                0.49745,                 0.2368,                 1.8798,                 1.8678,                 1.3596,                 1.7575,                 2.9716,                 1.2221,             0.00013126,             0.00013126,             0.00013126
                     54,                 1.0165,                 0.6968,                0.89918,                 1.2502,                 1.2541,                0.88998,                0.75968,                0.25811,                0.49002,                0.23522,                 1.8661,                 1.8675,                 1.3624,                 1.7564,                 2.9089,                 1.2377,              0.0001223,              0.0001223,              0.0001223
                     55,                 1.0202,                0.70858,                0.89397,                 1.2959,                 1.2572,                0.88274,                0.75968,                0.25811,                0.49002,                0.23522,                 1.8661,                 1.8675,                 1.3624,                 1.7564,                 2.9089,                 1.2377,             0.00011335,             0.00011335,             0.00011335
                     56,                 1.0557,                0.73457,                0.93293,                 1.2122,                 1.4036,                 0.9209,                0.72444,                0.29673,                0.39057,                0.20507,                 1.8403,                 1.8769,                 1.3688,                 1.7446,                 2.8605,                 1.2447,             0.00010439,             0.00010439,             0.00010439
                     57,                  1.011,                0.73641,                0.90847,                 1.1784,                 1.3109,                0.88989,                0.72444,                0.29673,                0.39057,                0.20507,                 1.8403,                 1.8769,                 1.3688,                 1.7446,                 2.8605,                 1.2447,             9.5437e-05,             9.5437e-05,             9.5437e-05
                     58,                 1.0047,                0.69217,                0.92111,                 1.1747,                 1.2906,                 0.9063,                 0.7739,                0.26674,                0.38668,                0.21211,                 1.8061,                 1.8589,                  1.366,                 1.7357,                 2.8084,                 1.2494,             8.6481e-05,             8.6481e-05,             8.6481e-05
                     59,                 1.0164,                0.69455,                0.92468,                 1.1348,                 1.3112,                0.92123,                 0.7739,                0.26674,                0.38668,                0.21211,                 1.8061,                 1.8589,                  1.366,                 1.7357,                 2.8084,                 1.2494,             7.7526e-05,             7.7526e-05,             7.7526e-05
                     60,                 0.9879,                0.68802,                0.90894,                 1.1699,                  1.284,                0.89621,                  0.779,                0.27163,                0.38149,                0.21184,                 1.7814,                 1.8758,                 1.3526,                 1.7359,                 2.7712,                 1.2596,              6.857e-05,              6.857e-05,              6.857e-05
                     61,                0.97226,                0.67982,                0.89637,                 1.1428,                 1.2064,                0.89658,                  0.779,                0.27163,                0.38149,                0.21184,                 1.7814,                 1.8758,                 1.3526,                 1.7359,                 2.7712,                 1.2596,             5.9614e-05,             5.9614e-05,             5.9614e-05
                     62,                 1.0368,                0.70833,                0.90876,                 1.2403,                 1.2697,                0.89611,                0.79871,                0.26924,                0.39434,                0.19881,                 1.7872,                 1.8902,                 1.3558,                 1.7475,                 2.7578,                 1.2628,             5.0658e-05,             5.0658e-05,             5.0658e-05
                     63,                0.97574,                0.68016,                0.90245,                 1.1339,                 1.2095,                0.89599,                0.79871,                0.26924,                0.39434,                0.19881,                 1.7872,                 1.8902,                 1.3558,                 1.7475,                 2.7578,                 1.2628,             4.1703e-05,             4.1703e-05,             4.1703e-05
                     64,                0.92719,                0.64185,                0.88217,                 1.0671,                 1.1564,                0.87313,                0.80948,                0.26771,                0.39757,                0.21102,                  1.793,                 1.8862,                 1.3497,                 1.7746,                 2.7404,                 1.2656,             3.2747e-05,             3.2747e-05,             3.2747e-05
                     65,                0.93181,                0.66464,                0.87977,                  1.129,                 1.1632,                 0.8862,                0.80948,                0.26771,                0.39757,                0.21102,                  1.793,                 1.8862,                 1.3497,                 1.7746,                 2.7404,                 1.2656,             2.3791e-05,             2.3791e-05,             2.3791e-05
